  40	1412.1675858823 12152.8680384345 77.0547544811 -903.5668917000
  56	1612.1675848823 15352.8680364345 77.0547544811 -1043.1569710000
  58	1612.1675848823 16000.0000000000 77.0547544811 -1061.3998030000
  68	1612.1675848823 16000.0000000000 89.0547534811 -1105.2432370000
  83	1712.1675843823 16000.0000000000 89.0547534811 -1141.6241820000
  86	1712.1675843823 16000.0000000000 101.0547524811 -1152.5570900000
 101	1712.1675843823 16000.0000000000 95.0547529811 -1154.9967210000
 115	1712.1675843823 16000.0000000000 98.0547527311 -1155.4572990000
 125	1724.6675843198 15950.0000000313 98.8047526686 -1158.9085700000
 132	1724.6675843198 15950.0000000313 97.3047527936 -1158.9589590000
 136	1724.6675843198 16000.0000000000 97.3047527936 -1160.5710640000
 165	1724.6675843198 16000.0000000000 97.5391277741 -1160.6108690000
 174	1724.6675843198 16000.0000000000 97.7735027546 -1160.6289760000
 200	1726.6207093100 16000.0000000000 97.8467449360 -1161.3701600000
 217	1728.1832093022 16000.0000000000 97.8467449360 -1161.9511880000
 230	1728.1832093022 16000.0000000000 97.9404949282 -1161.9593650000
 231	1728.1832093022 16000.0000000000 98.2217449047 -1161.9633630000
 254	1728.1832093022 16000.0000000000 98.1279949125 -1161.9654370000
 267	1728.1862610600 16000.0000000000 98.0836833928 -1161.9663810000
 277	1728.1893128178 16000.0000000000 98.0393718730 -1161.9665550000
 290	1728.2564514894 16000.0000000000 98.0434001930 -1161.9918080000
 300	1728.3235901609 16000.0000000000 98.0474285130 -1162.0170520000
 327	1728.3275955930 16000.0000000000 98.0569957729 -1162.0188330000
 328	1728.3396118893 16000.0000000000 98.0856975528 -1162.0239760000
 331	1728.3396118893 16000.0000000000 98.1270793853 -1162.0243450000
 393	1728.3436173214 16000.0000000000 98.1366466452 -1162.0258440000
 394	1728.3556336178 16000.0000000000 98.1653484250 -1162.0301420000
 412	1728.3596390499 16000.0000000000 98.1749156850 -1162.0315080000
 422	1728.3636444820 16000.0000000000 98.1844829449 -1162.0328410000
 432	1728.3676499141 16000.0000000000 98.1940502049 -1162.0341410000
 472	1728.3680075420 16000.0000000000 98.1911999110 -1162.0343430000
 473	1728.3690804256 16000.0000000000 98.1826490294 -1162.0349320000
 491	1728.3694380534 16000.0000000000 98.1797987355 -1162.0351220000
 492	1728.3705109370 16000.0000000000 98.1712478539 -1162.0356720000
 510	1728.3708685649 16000.0000000000 98.1683975600 -1162.0358490000
 520	1728.3712261928 16000.0000000000 98.1655472661 -1162.0360230000
 624	1728.3713445173 16000.0000000000 98.1656171852 -1162.0360660000
 658	1728.3714100700 16000.0000000000 98.1656079201 -1162.0360910000
 694	1728.3714268218 16000.0000000000 98.1656084164 -1162.0360980000
 704	1728.3714435736 16000.0000000000 98.1656089127 -1162.0361040000
 797	1728.3714435736 16000.0000000000 98.1656089127 -1162.0361040000
