  17	1076.2606863196 6305.5692466742 100.7543777523 -243.6278291000
  27	1326.7304714269 10659.7959105379 85.2859428003 -795.8062090000
  29	1526.7304704269 12259.7959095379 85.2859428003 -921.2709384000
  43	1526.7304704269 15459.7959075379 73.2859438003 -1012.6676980000
  61	1726.7304694269 13859.7959085379 97.2859418003 -1043.1033860000
  70	1726.7304694269 16000.0000000000 97.2859418003 -1161.3138530000
 132	1726.7304694269 16000.0000000000 97.5203167808 -1161.3697610000
 133	1726.7304694269 16000.0000000000 98.2234417222 -1161.4074820000
 196	1728.2929694191 15989.0625000068 98.1501995408 -1161.6559730000
 216	1727.9511725458 16000.0000000000 98.0330120506 -1161.8771350000
 262	1727.9511725458 16000.0000000000 98.1267620428 -1161.8778750000
 305	1728.0183112173 16000.0000000000 98.1307903627 -1161.9031970000
 306	1728.2197272319 16000.0000000000 98.1428753227 -1161.9791130000
 329	1728.2868659035 16000.0000000000 98.1469036426 -1162.0044010000
 342	1728.3540045750 16000.0000000000 98.1509319626 -1162.0296810000
 355	1728.3570563328 16000.0000000000 98.1066204429 -1162.0307990000
 367	1728.3601080906 16000.0000000000 98.0623089231 -1162.0311480000
 419	1728.3601080906 16000.0000000000 98.1036907556 -1162.0319160000
 450	1728.3641135227 16000.0000000000 98.1132580156 -1162.0335050000
 462	1728.3681189548 16000.0000000000 98.1228252755 -1162.0350600000
 527	1728.3684765827 16000.0000000000 98.1199749816 -1162.0351830000
 528	1728.3695494663 16000.0000000000 98.1114241000 -1162.0355340000
 552	1728.3699070942 16000.0000000000 98.1085738061 -1162.0356440000
 553	1728.3709799778 16000.0000000000 98.1000229245 -1162.0359570000
 622	1728.3713376056 16000.0000000000 98.0971726306 -1162.0360540000
 788	1728.3714391964 15999.9992284633 98.0971648040 -1162.0360680000
 803	1728.3714219669 16000.0000000000 98.0971702467 -1162.0360860000
 831	1728.3714319761 16000.0000000000 98.0971816597 -1162.0360900000
 888	1728.3714446132 16000.0000000000 98.0971827984 -1162.0360950000
 994	1728.3714446132 16000.0000000000 98.0971827984 -1162.0360950000
