  17	1076.2606863196 6305.5692466742 100.7543777523 -243.6278291000
  21	1676.2606833197 14305.5692416742 112.7543767523 -1038.2967170000
  43	1676.2606833197 15905.5692406742 100.7543777523 -1130.4079990000
  55	1676.2606833197 16000.0000000000 100.7543777523 -1132.0780410000
  88	1676.2606833197 16000.0000000000 88.7543787523 -1133.1142210000
 116	1726.2606830696 16000.0000000000 97.7543780023 -1161.2286830000
 190	1726.2606830696 16000.0000000000 97.9887529828 -1161.2379820000
 255	1728.3602924342 15999.2187500005 98.0649248514 -1162.0062600000
 257	1728.3602924342 15999.2187500005 98.1352373456 -1162.0071420000
 289	1728.3602924342 16000.0000000000 98.1352373456 -1162.0321250000
 351	1728.3633441919 16000.0000000000 98.0909258258 -1162.0329640000
 372	1728.3633441919 16000.0000000000 98.1319414474 -1162.0332770000
 429	1728.3663959497 16000.0000000000 98.0876299277 -1162.0340550000
 431	1728.3663959497 16000.0000000000 98.1315752365 -1162.0344260000
 479	1728.3694477075 16000.0000000000 98.0872637168 -1162.0351940000
 481	1728.3694477075 16000.0000000000 98.1312090256 -1162.0355740000
 554	1728.3713550562 16000.0000000000 98.1327425338 -1162.0362920000
 647	1728.3714444631 16000.0000000000 98.1321089961 -1162.0363260000
1000	1728.3714444631 16000.0000000000 98.1321089961 -1162.0363260000
