  18	1007.1604251229 6595.9232633560 73.0259423935 -437.5754336000
  19	903.4067504696 7382.0344446496 60.7943914322 -541.3707281000
  27	903.4067504696 7382.0344446496 48.7943924322 -550.2067599000
  54	1433.9725703907 10880.5109118631 93.5811766873 -807.1648512000
 115	1433.9725703907 12480.5109108631 93.5811766873 -910.3028399000
 125	1633.9725693907 12480.5109108631 93.5811766873 -936.5717982000
 130	1633.9725693907 15680.5109088631 93.5811766873 -1112.1538960000
 131	1633.9725693907 16000.0000000000 93.5811766873 -1116.6942500000
 164	1683.9725691407 16000.0000000000 93.5811766873 -1143.2115960000
 177	1696.4725690782 16000.0000000000 93.2061767186 -1147.7549380000
 179	1721.4725689532 16000.0000000000 91.7061768436 -1151.8176360000
 185	1721.4725689532 16000.0000000000 97.7061763436 -1159.3958990000
 222	1726.1600689298 15981.2500000117 96.5343014412 -1160.1759570000
 232	1726.1600689298 16000.0000000000 96.7686764217 -1160.9159100000
 233	1726.1600689298 16000.0000000000 97.4718013631 -1161.1520090000
 250	1726.1600689298 16000.0000000000 97.7061763436 -1161.1866300000
 259	1726.1600689298 16000.0000000000 97.9405513240 -1161.1996510000
 284	1728.1131939200 16000.0000000000 98.0137935054 -1161.9371970000
 303	1728.1131939200 16000.0000000000 98.1075434976 -1161.9390770000
 320	1728.1803325916 16000.0000000000 98.1115718176 -1161.9643670000
 332	1728.3512310282 16000.0000000000 98.0998530686 -1162.0285400000
 353	1728.3542827860 16000.0000000000 98.0555415488 -1162.0287800000
 385	1728.3582882181 16000.0000000000 98.0651088088 -1162.0305400000
 386	1728.3703045145 16000.0000000000 98.0938105886 -1162.0356190000
 428	1728.3706621423 16000.0000000000 98.0909602947 -1162.0357100000
 438	1728.3710197702 16000.0000000000 98.0881100009 -1162.0357980000
 448	1728.3713773981 16000.0000000000 98.0852597070 -1162.0358820000
 545	1728.3714429508 16000.0000000000 98.0852504420 -1162.0359070000
 708	1728.3714429508 16000.0000000000 98.0852504420 -1162.0359070000
