  11	1252.2993739017 9449.5476886242 85.6113927294 -688.4252353000
  27	1252.2993739017 9449.5476886242 73.6113937294 -709.2988844000
  41	1535.8238197407 13150.1113628969 110.1345696610 -921.4824001000
  43	1535.8238197407 14750.1113618969 98.1345706610 -1020.2056010000
  74	1535.8238197407 14750.1113618969 86.1345716610 -1046.2729260000
  76	1535.8238197407 16000.0000000000 86.1345716610 -1050.1961420000
  93	1635.8238192407 15600.0000002500 92.1345711610 -1112.1107580000
  98	1635.8238192407 16000.0000000000 92.1345711610 -1118.8755980000
 120	1685.8238189907 16000.0000000000 107.1345699110 -1119.6660960000
 127	1685.8238189907 16000.0000000000 95.1345709110 -1144.3568710000
 145	1723.3238188032 15800.0000001250 98.1345706610 -1153.4972680000
 150	1723.3238188032 16000.0000000000 98.1345706610 -1160.0858970000
 184	1728.0113187797 15975.0000000156 98.1345706610 -1161.0964560000
 187	1728.0113187797 16000.0000000000 98.1345706610 -1161.9005150000
 284	1728.3042875283 16000.0000000000 98.1704593299 -1162.0106790000
 308	1728.3714261998 16000.0000000000 98.1744876499 -1162.0359660000
 541	1728.3714429516 16000.0000000000 98.1744881462 -1162.0359720000
 668	1728.3714445647 15999.9999966124 98.1744879980 -1162.0359730000
 727	1728.3714445647 15999.9999966124 98.1744879980 -1162.0359730000
